tld,dot_num,avg_host,max_host,avg_path,max_path,class
com,1,3.5,4,4.666666666666667,9,good
com,1,6.5,10,2.75,3,good
com,1,5.0,7,0.0,0,good
com,0,14.0,14,6.125,9,bad
com,1,8.0,8,4.857142857142857,9,good
ca,2,6.0,11,7.533333333333333,15,good
com,1,6.0,10,4.666666666666667,5,good
org,0,14.0,14,5.5,8,good
com,0,9.0,9,4.4,9,bad
eu,0,16.0,16,8.714285714285714,32,bad
com.ar,0,9.0,9,2.6666666666666665,5,bad
gov,2,3.3333333333333335,4,3.0,4,good
com,1,9.5,15,3.3333333333333335,5,bad
com,1,7.0,10,4.5,7,bad
com,2,3.6666666666666665,6,5.75,8,good
org,1,5.5,9,9.5,15,good
com,1,9.5,14,5.166666666666667,7,bad
com,0,6.0,8,6.5,8,bad
com,0,7.0,7,0.0,0,bad
com,0,10.0,10,5.5,6,bad
com,0,7.0,7,8.0,8,bad
com,0,7.0,7,0.0,0,bad
com,1,8.5,14,5.153846153846154,9,good
org,1,5.5,9,3.6666666666666665,5,good
ru,0,7.0,7,6.0,9,good
com,0,6.0,6,2.6666666666666665,4,bad
com,1,3.0,3,6.0,17,good
info,0,10.0,10,0.0,0,bad
net,1,4.5,6,4.333333333333333,7,bad
org,1,5.5,9,4.0,6,good
org,1,6.0,9,22.0,38,good
com,1,6.333333333333333,9,2.9166666666666665,5,good
com,0,17.0,17,0.0,0,bad
jp,2,2.6666666666666665,3,5.0,8,good
co,1,5.333333333333333,6,3.0,3,bad
ru,0,8.0,8,5.0,5,bad
com,1,13.5,24,5.5,9,good
com,1,11.0,12,8.0,27,bad
com,0,19.0,19,7.0,7,bad
ca,2,5.666666666666667,8,2.8,6,good
org,0,11.0,11,4.846153846153846,10,good
gov,1,4.0,5,4.0,5,good
org,1,8.5,10,4.25,7,good
com,2,7.0,12,0.0,0,bad
nz,2,10.0,20,4.5,9,good
com,1,7.5,12,6.111111111111111,9,good
news,1,7.0,11,0.0,0,bad
org,0,16.0,16,8.0,8,bad
cz,2,3.0,3,2.0,4,good
ru,1,4.5,6,4.125,8,good
com,0,13.0,13,4.5,6,bad
com,0,13.0,13,5.428571428571429,10,bad
com,0,18.0,18,3.5,7,bad
pl,0,17.0,17,3.6666666666666665,5,bad
org,1,5.5,9,4.0,4,good
org,0,18.0,18,7.666666666666667,13,good
com,1,11.0,19,8.333333333333334,10,good
com,1,5.0,6,7.0,7,bad
pl,0,6.0,6,3.5,7,bad
cl,0,9.0,9,3.75,7,bad
com,0,10.0,10,2.5,5,bad
com,1,12.5,13,6.2,10,bad
