tld,dot_num,avg_host,max_host,avg_path,max_path
com,0,9.0,9,5.5,10
net,0,6.0,6,4.75,10
hu,0,14.0,14,4.5,6
us,1,8.5,11,0.0,0
com,0,9.0,9,8.25,13
com,0,7.0,7,0.0,0
com,0,7.0,7,0.0,0
me,1,5.5,8,3.5,4
com,0,7.0,7,0.0,0
me,1,5.5,8,3.0,3
gov.tr,1,5.0,6,5.6,8
cz,1,7.5,8,6.0,8
nl,0,17.0,17,3.0,3
com,0,6.0,6,0.0,0
com,1,5.0,6,5.125,12
com,1,5.0,6,2.625,7
com,0,12.0,12,5.0,9
com,0,5.0,6,5.333333333333333,10
uk,1,4.0,6,12.0,32
ru,1,5.0,9,3.0,5
com,0,8.0,8,6.0,10
com,0,9.0,9,2.5,5
com,0,9.0,9,5.0,6
net,1,8.5,10,6.0,9
de,2,6.0,9,5.0,8
edu.ec,0,13.0,13,5.333333333333333,6
cz,1,5.0,7,3.0,3
ir,0,6.0,6,3.3333333333333335,5
com,0,9.0,9,5.6,9
com,0,10.0,10,3.5,6
com,0,8.0,8,2.6666666666666665,3
hu,0,13.0,13,2.6666666666666665,3
is,0,7.0,7,4.0,7
pl,0,9.0,9,2.6666666666666665,3
by,0,10.0,10,2.6666666666666665,3
com,0,10.0,10,2.6666666666666665,3
ru,0,7.0,7,2.6666666666666665,3
com,0,14.0,14,2.6666666666666665,3
com.mk,0,5.0,5,2.6666666666666665,3
com,0,20.0,20,2.6666666666666665,3
com,0,8.0,8,2.6666666666666665,3
is,0,7.0,7,4.0,7
eu,0,6.0,6,2.6666666666666665,3
com,0,7.0,7,3.5,4
com,0,5.0,5,5.0,6
com,0,14.0,14,4.6,6
com,0,14.0,14,3.3333333333333335,6
com,0,14.0,14,3.75,6
com,0,14.0,14,5.4,8
com,0,14.0,14,5.4,8
com,0,14.0,14,5.4,8
com,0,14.0,14,5.4,8
com,0,14.0,14,5.4,8
com,0,14.0,14,5.4,8
net,0,11.0,11,0.0,0
com,0,4.5,7,5.0,6
com,0,14.0,14,5.0,6
com,0,11.0,11,5.0,6
com,0,9.0,9,5.0,6
com,0,9.0,9,5.4,8
com,0,4.5,7,4.5,8
com,0,14.0,14,4.5,8
com,0,4.0,4,6.666666666666667,11
info,1,4.5,7,0.0,0
uk,1,7.0,12,7.333333333333333,10
us,0,16.0,16,5.666666666666667,9
net,0,7.0,7,6.0,9
com,0,11.0,11,5.4,8
com,0,5.0,5,3.6666666666666665,6
net,0,15.0,15,5.8,22
com,0,13.0,13,4.0,5
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
com,1,8.5,12,3.5714285714285716,6
name,1,8.0,12,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
name,1,9.0,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
com,1,9.5,14,3.5714285714285716,6
